ID,Keyword,Position,URL,Country,Device,Updated,Added,Tags
93, o jogo rpg, -, -, Brazil, desktop, 2024-01-26T17:07:52.090Z, 2024-01-25T11:41:45.830Z, 
94, rpg de papel, -, -, Brazil, desktop, 2024-01-26T17:08:27.659Z, 2024-01-25T11:41:45.830Z, 
95, gerador rpg, -, -, Brazil, desktop, 2024-01-26T17:08:58.063Z, 2024-01-25T11:41:45.830Z, 
96, rpg de livro, -, -, Brazil, desktop, 2024-01-26T17:09:17.240Z, 2024-01-25T11:41:45.830Z, 
97, rpg papel, -, -, Brazil, desktop, 2024-01-26T17:09:34.428Z, 2024-01-25T11:41:45.830Z, 
98, rp de mesa, -, -, Brazil, desktop, 2024-01-26T17:10:06.225Z, 2024-01-25T11:41:45.830Z, 
99, rpg de mesa o que é, -, -, Brazil, desktop, 2024-01-26T17:10:24.728Z, 2024-01-25T11:41:45.830Z, 
100, personagens rpg de mesa, -, -, Brazil, desktop, 2024-01-26T17:11:06.522Z, 2024-01-25T11:41:45.830Z, 
101, rpg criador, -, -, Brazil, desktop, 2024-01-26T17:11:22.244Z, 2024-01-25T11:41:45.830Z, 
102, rpg interativo, -, -, Brazil, desktop, 2024-01-26T17:11:37.722Z, 2024-01-25T11:41:45.830Z, 
103, bot discord dados rpg, 86, -, Brazil, desktop, 2024-01-26T17:12:07.795Z, 2024-01-25T11:41:45.830Z, 
104, rpg d3, -, -, Brazil, desktop, 2024-01-26T17:12:23.527Z, 2024-01-25T11:41:45.830Z, 
105, rpg livros, -, -, Brazil, desktop, 2024-01-26T17:13:28.396Z, 2024-01-25T11:41:45.830Z, 
106, rpgde mesa, -, -, Brazil, desktop, 2024-01-26T17:13:44.820Z, 2024-01-25T11:41:45.830Z, 
107, criador rpg, -, -, Brazil, desktop, 2024-01-26T17:14:02.822Z, 2024-01-25T11:41:45.830Z, 
108, rpg de dado, -, -, Brazil, desktop, 2024-01-26T17:14:18.723Z, 2024-01-25T11:41:45.830Z, 
109, rpg de dados, -, -, Brazil, desktop, 2024-01-26T17:14:34.696Z, 2024-01-25T11:41:45.830Z, 
110, mapas de rpg, -, -, Brazil, desktop, 2024-01-26T17:15:45.285Z, 2024-01-25T11:41:45.830Z, 
111, rpg de mesa discord, 97, -, Brazil, desktop, 2024-01-26T17:16:03.264Z, 2024-01-25T11:41:45.830Z, 
112, criador de mapas para rpg, -, -, Brazil, desktop, 2024-01-26T17:16:22.009Z, 2024-01-25T11:41:45.830Z, 
